in_zone,out_zone
0.0565,0.0228
0.0353,0.0023
0.0331,0.086
0.2464,0.0097
0.1407,0.4256
0.28,0.1574
0.6003,0.0067
0.2626,0.2695
0.3016,0.0195
0.1937,0.0937
0.2255,0.0088
0.9373,0.4164
0.2427,0.0017
0.3411,0.2378
0.0712,0.4436
0.1329,0.1349
0.0738,0.2656
0.0905,0.002
0.1385,0.0195
0.605,0.3939
0.1428,0.2415
0.3237,0.0801
0.0805,0.6936
0.1719,0.2012
0.173,0.0853
0.3889,0.0584
0.2478,0.0039
0.0687,0.1585
0.1338,0.0359
0.7426,0.0199
0.8376,0.0692
0.4717,0.2545
0.5494,0.0264
0.5634,0.004
0.444,0.4339
0.2454,0.0843
0.2996,0.3133
0.3612,0.0171
0.0441,0.0106
0.5982,0.2801
0.2666,0.1144
0.4406,0.0185
0.4551,0.0292
0.1841,0.0603
0.2059,0.3428
0.1664,0.3666
0.3218,0.0856
0.1104,0.3902
0.1803,0.1189
0.2286,0.0204
0.7771,0.1136
0.0725,0.0976
0.0975,0.3715
0.0593,0.4885
0.1253,0.0129
0.1351,0.0132
0.0228,0.4438
0.6435,0.2107
0.0757,0.1161
0.1448,0.0992
0.3221,0.0436
0.3126,0.0553
0.2891,0.311
0.2814,0.0135
0.0186,0.1144
0.0188,0.0526
0.0292,0.1246
0.0318,0.0854
0.0217,0.0191
0.3885,0.0137
0.1622,0.6388
0.5059,0.2657
0.1736,0.054
0.1434,0.6115
0.1963,0.336
0.098,0.4831
0.2792,0.0049
0.2846,0.0209
0.1122,0.3388
0.1245,0.0144
0.0953,0.0344
0.5836,0.0142
0.5194,0.1473
0.2731,0.3675
0.1431,0.0695
0.1235,0.0427
0.13,0.0193
0.1756,0.0056
0.1279,0.0156
0.104,0.1297
0.4241,0.0953
0.122,0.1386
0.1454,0.0177
0.1099,0.3166
0.2993,0.0181
0.3997,0.0913
0.2175,0.0584
0.3268,0.0415
0.3374,0.3177
0.4887,0.2046
0.0271,0.2387
0.4001,0.174
0.4422,0.0125
0.0107,0.1344
0.242,0.4272
0.1124,0.4309
0.3773,0.0178
0.5367,0.1655
0.3399,0.0166
0.2925,0.1792
0.5723,0.0881
0.0098,0.1232
0.2254,0.1376
0.1953,0.211
0.2293,0.0212
0.2525,0.4507
0.2761,0.0633
0.3143,0.0179
0.0039,0.0796
0.4785,0.0887
0.01,0.027
0.0711,0.1173
0.3045,0.1017
0.6976,0.0246
0.0105,0.0165
0.3141,0.6476
0.1678,0.1984
0.014,0.0877
0.1567,0.1816
0.6125,0.315
0.0949,0.0033
0.1035,0.0166
0.6135,0.0457
0.0649,0.5691
0.0089,0.3645
0.1622,0.1008
0.0315,0.0326
0.3693,0.1254
0.2829,0.2508
0.4418,0.0236
0.1774,0.5023
0.0427,0.036
0.0145,0.0176
0.0718,0.0258
0.0596,0.2284
0.532,0.4102
0.2297,0.0454
0.3414,0.1106
0.347,0.0692
0.0204,0.0264
0.0582,0.002
0.0408,0.014
0.6864,0.1995
0.7543,0.2069
0.8721,0.5905
0.0147,0.1307
0.1013,0.0236
0.042,0.5792
0.3038,0.2669
0.0389,0.0983
0.4979,0.0796
0.0403,0.4333
0.021,0.6606
0.7359,0.6245
0.2054,0.0096
0.069,0.4664
0.2873,0.4044
0.0416,0.2685
0.0059,0.3268
0.3918,0.0121
0.1166,0.6612
0.0093,0.1385
0.0673,0.1423
0.4091,0.5246
0.2741,0.1939
0.2797,0.3123
0.0092,0.0596
0.6234,0.3238
0.592,0.112
0.0192,0.2757
0.0286,0.3281
0.4235,0.1144
0.0418,0.3494
0.115,0.1388
0.0488,0.1248
0.1491,0.3327
0.4549,0.0171
0.0221,0.5361
0.1307,0.1514
0.6933,0.1059
0.0925,0.0167
0.3746,0.2714
0.6299,0.0084
0.4527,0.5644
0.0795,0.0157
0.0925,0.3097
0.0798,0.0689
0.446,0.2536
0.0975,0.1701
0.379,0.1556
0.4962,0.1694
0.0447,0.4373
0.1402,0.0085
0.4596,0.062
0.1822,0.0541
0.1087,0.4708
0.0806,0.0206
0.4741,0.0185
0.0265,0.0239
0.3107,0.7221
0.0328,0.0238
0.0747,0.0166
0.0295,0.0625
0.0282,0.083
0.5079,0.0367
0.3828,0.0264
0.3584,0.0391
0.2144,0.0377
0.3834,0.2003
0.0323,0.0132
0.0051,0.2633
0.0136,0.4111
0.0353,0.0762
0.4539,0.2481
0.3608,0.0702
0.0465,0.5747
0.0212,0.0826
0.3728,0.0512
0.0544,0.0489
0.3312,0.0718
0.5386,0.4443
0.0228,0.0977
0.0763,0.125
0.0549,0.0014
0.346,0.0053
0.1598,0.028
0.0119,0.0475
0.0044,0.1398
0.0154,0.0226
0.0283,0.0133
0.0834,0.0452
0.0369,0.0101
0.0628,0.5525
0.0677,0.422
0.543,0.0099
0.0077,0.0021
0.0075,0.0319
0.1507,0.0019
0.0086,0.0034
0.0497,0.3767
0.0681,0.0311
0.0254,0.2292
0.431,0.0175
0.0103,0.3399
0.0228,0.3285
0.4737,0.0025
0.5559,0.0248
0.0169,0.027
0.044,0.0358
0.0668,0.3323
0.0464,0.0137
0.0487,0.2302
0.2906,0.0789
0.065,0.1675
0.019,0.177
0.1164,0.3265
0.0815,0.0351
0.1474,0.0174
0.205,0.4156
0.0351,0.0149
0.0442,0.4545
0.2313,0.0306
0.0486,0.2727
0.2845,0.0876
0.0735,0.1116
0.3497,0.6534
0.0395,0.5952
0.4554,0.2182
0.1006,0.1249
0.1382,0.0063
0.4933,0.1545
0.0168,0.0053
0.0528,0.3455
0.1051,0.3291
0.0781,0.0756
0.1349,0.2504
0.0356,0.7006
0.0582,0.5143
0.084,0.0957
0.0905,0.0476
0.0374,0.0205
0.1459,0.4562
0.0339,0.1895
0.0314,0.8215
0.1473,0.7109
0.1368,0.6308
0.7194,0.0045
0.5101,0.8245
0.0339,0.2733
0.2198,0.0201
0.4039,0.619
0.1311,0.0097
0.3227,0.034
0.309,0.006
0.1228,0.1254
0.3569,0.1396
0.0251,0.0734
0.2276,0.3053
0.0684,0.7856
0.799,0.3459
0.0733,0.6165
0.4342,0.0339
0.4272,0.4211
0.5965,0.0116
0.0177,0.447
0.1208,0.2903
0.4456,0.6317
0.1767,0.0249
0.1065,0.3336
0.0298,0.7539
0.7808,0.9003
0.2946,0.0578
0.0238,0.0048
0.464,0.006
0.0197,0.1904
0.0252,0.6124
0.04,0.0333
0.0958,0.1845
0.0268,0.1345
0.4604,0.0033
0.1133,0.0293
0.0123,0.1102
0.0167,0.0438
0.138,0.0019
0.3777,0.407
0.6924,0.1118
0.021,0.5805
0.4801,0.0052
0.0875,0.4482
0.056,0.2447
0.0062,0.0391
0.2469,0.7229
0.7515,0.1036
0.3661,0.4071
0.4517,0.2007
0.5888,0.3156
0.1484,0.0035
0.1825,0.0077
0.0488,0.1412
0.014,0.3687
0.2209,0.908
0.0097,0.28
0.0508,0.9265
0.0036,0.0661
0.0085,0.0408
0.1132,0.1994
0.0367,0.2346
0.1703,0.0915
0.6707,0.0436
0.6249,0.0511
0.3851,0.0921
0.4477,0.0878
0.1759,0.022
0.139,0.0718
0.3705,0.446
0.7956,0.075
0.0094,0.7128
0.0482,0.9676
0.5323,0.2589
0.0773,0.2898
0.0175,0.0555
0.062,0.188
0.0305,0.6481
0.6636,0.0876
0.3626,0.9516
0.3912,0.1069
0.2314,0.099
0.0298,0.4385
0.1548,0.0372
0.2787,0.3622
0.1911,0.0242
0.6684,0.1567
0.0554,0.121
0.143,0.0252
0.721,0.2937
0.5709,0.4225
0.0686,0.0864
0.0239,0.1847
0.0104,0.0341
0.0115,0.8572
0.0613,0.0114
0.0128,0.3456
0.619,0.1059
0.7688,0.1111
0.233,0.0223
0.3873,0.5598
0.3322,0.1069
0.0888,0.0884
0.042,0.4074
0.3734,0.4226
0.2753,0.1115
0.2367,0.3611
0.0854,0.0222
0.172,0.006
0.01,0.1763
0.684,0.264
0.1469,0.0329
0.0642,0.113
0.0819,0.1774
0.4656,0.0981
0.0533,0.0832
0.3301,0.0287
0.1295,0.8597
0.0851,0.3315
0.0495,0.3216
0.3137,0.3008
0.1759,0.7516
0.1265,0.1285
0.0808,0.1338
0.5078,0.1343
0.4319,0.2894
0.3659,0.8431
0.4064,0.4348
0.0249,0.5456
0.5894,0.3774
0.3978,0.0104
0.7885,0.1615
0.0259,0.3128
0.2346,0.0253
0.0443,0.7842
0.2065,0.0726
0.0486,0.5596
0.0257,0.373
0.3095,0.269
0.1027,0.5728
0.0289,0.218
0.0231,0.0532
0.1532,0.0056
0.1949,0.0058
0.3772,0.075
0.6621,0.2913
0.3756,0.337
0.2132,0.2695
0.0962,0.0648
0.5037,0.0452
0.0871,0.2017
0.103,0.0473
0.0703,0.0811
0.0941,0.464
0.1052,0.0385
0.0449,0.0236
0.1644,0.0167
0.3559,0.1468
0.0215,0.6878
0.0517,0.0062
0.0312,0.0389
0.0155,0.121
0.0241,0.4012
0.0178,0.0639
0.0125,0.2244
0.0201,0.0852
0.7401,0.0213
0.2047,0.0785
0.0623,0.3586
0.0946,0.0145
0.0198,0.1654
0.393,0.0184
0.1338,0.0253
