FID,TPI,TWI,Pente,CircVarAsp,Zone
"199",0.0000,9.3731,2.7459,0.023,"1"
"200",0.0415,12.0486,1.2878,0.029,"1"
"201",0.2293,5.2027,9.0668,0.136,"1"
"202",0.0000,7.3809,3.8516,0.160,"1"
"203",0.0000,5.6448,12.5838,0.069,"1"
"204",0.0000,3.7852,23.9991,0.228,"1"
"205",0.0380,7.5385,2.4445,0.009,"1"
"206",0.0113,8.3223,3.7694,0.003,"1"
"207",0.1723,5.7404,5.1165,0.192,"1"
"208",0.0000,9.8130,1.3860,0.016,"1"
"209",0.0000,6.1491,21.7226,0.043,"1"
"210",0.1313,5.4049,8.5297,0.017,"1"
"211",0.0000,10.4835,3.5130,0.032,"1"
"212",0.2340,4.9948,6.5997,0.207,"1"
"213",0.0317,6.4108,7.1302,0.010,"1"
"214",0.0000,8.1211,2.4769,0.026,"1"
"215",0.0346,5.3093,10.1540,0.409,"1"
"216",0.0037,6.7625,15.0493,0.011,"1"
"217",0.0848,4.7840,9.4620,0.236,"1"
"218",0.0000,4.4865,15.3273,0.261,"1"
"219",0.0000,5.9462,5.3632,0.255,"1"
"220",0.0038,8.9761,4.3443,0.003,"1"
"221",0.0000,6.1812,5.3826,0.238,"1"
"222",0.0000,6.6692,5.1127,0.346,"1"
"223",0.0000,10.2048,2.1106,0.025,"1"
"224",0.5794,7.6759,2.1014,0.140,"1"
"225",0.0000,9.4250,3.5018,0.045,"1"
"226",0.3772,7.0142,0.6551,0.142,"1"
"227",0.1293,8.5393,1.7351,0.029,"1"
"228",0.0000,5.1336,9.4367,0.268,"1"
"229",0.0000,8.6897,6.0053,0.038,"1"
"230",0.1679,5.7398,4.2324,0.198,"1"
"231",0.0000,10.7285,0.4429,0.114,"1"
"232",0.1413,6.0689,7.3108,0.247,"1"
"233",0.0000,10.5779,1.2140,0.264,"1"
"234",0.0000,6.1834,2.5366,0.416,"1"
"235",0.0000,9.6457,1.9936,0.016,"1"
"236",0.0000,8.9208,0.7450,0.614,"1"
"237",0.0663,10.6846,0.8072,0.150,"1"
"238",0.0000,10.7133,1.7543,0.056,"1"
"239",0.0000,5.6263,12.1427,0.162,"1"
"240",0.0000,9.0293,3.1842,0.064,"1"
"241",0.0000,7.7753,4.7226,0.068,"1"
"242",0.0200,6.3620,2.5408,0.049,"1"
"243",0.0000,4.5553,4.9256,0.527,"1"
"244",0.0000,11.1969,1.8903,0.150,"1"
"245",0.0000,10.2400,1.4107,0.054,"1"
"246",0.0000,9.8406,1.6420,0.036,"1"
"247",0.0000,15.7609,4.3754,0.469,"1"
"248",0.5813,6.0364,4.9930,0.140,"1"
"249",0.3482,7.6397,0.3435,0.117,"1"
"250",0.0000,6.1780,5.9766,0.210,"1"
"251",0.0000,7.7869,11.7148,0.026,"1"
"252",0.2504,7.9245,0.9650,0.241,"1"
"253",0.0000,4.3297,22.9639,0.235,"1"
"254",0.0000,14.6134,0.2825,0.109,"1"
"255",0.0000,6.6066,2.0721,0.755,"1"
"256",0.0000,6.8715,6.1033,0.047,"1"
"257",0.3467,6.7535,0.7089,0.146,"1"
"258",0.0000,11.8836,0.1358,0.910,"1"
"259",0.0540,7.8656,8.3444,0.074,"1"
"260",0.0000,10.7495,2.8517,0.023,"1"
"261",0.0000,4.1308,26.2489,0.610,"1"
"262",0.0000,6.7621,2.3557,0.029,"1"
"263",0.6074,5.3946,4.3154,0.253,"1"
"264",0.0000,8.7138,2.3341,0.229,"1"
"265",0.0000,4.6584,9.4306,0.523,"1"
"266",0.1439,6.1289,3.4240,0.129,"1"
"267",0.0000,6.7959,7.1524,0.267,"1"
"268",0.0000,8.7435,3.5504,0.082,"1"
"269",0.0000,7.1215,1.8490,0.058,"1"
"270",0.0000,6.2019,6.5690,0.186,"1"
"271",0.1252,6.0844,4.0071,0.250,"1"
"272",0.0305,7.1850,4.8148,0.076,"1"
"273",0.0000,9.9218,3.3295,0.644,"1"
"274",0.0000,7.9686,12.3492,0.017,"1"
"275",0.0000,4.2137,5.4147,0.014,"1"
"276",0.0000,3.9633,8.8254,0.715,"1"
"277",0.6012,6.1415,2.1087,0.495,"1"
"278",0.0168,7.0620,4.4807,0.089,"1"
"279",0.0660,4.7258,3.7483,0.131,"1"
"280",0.0000,6.9458,2.7893,0.545,"1"
"281",0.0964,4.6684,3.1826,0.125,"1"
"282",0.1933,5.7052,5.2150,0.369,"1"
"283",0.0000,6.3933,4.4055,0.468,"1"
"284",0.4611,6.2533,2.1618,0.035,"1"
"285",0.0000,6.2896,3.3668,0.321,"1"
"286",0.0000,8.0835,4.3759,0.018,"1"
"287",0.0460,6.8960,1.9784,0.283,"1"
"288",0.1068,5.6245,2.6412,0.709,"1"
"289",0.1693,4.1600,15.3100,0.037,"1"
"290",0.3962,5.1437,6.7776,0.061,"1"
"291",0.0000,6.6260,1.2417,0.234,"1"
"292",0.0000,10.7159,4.1032,0.059,"1"
"293",0.0000,6.2773,6.7975,0.033,"1"
"294",0.0000,13.7333,3.6784,0.234,"1"
"295",0.0000,5.1000,13.5266,0.045,"1"
"296",0.0000,9.5053,1.2636,0.037,"1"
"297",0.0051,8.5694,11.3059,0.030,"1"
"298",0.0000,6.2952,1.7911,0.958,"1"
"299",0.0000,6.4590,1.1461,0.041,"1"
"300",0.0158,6.7471,7.8655,0.133,"1"
"301",0.3654,7.1914,3.7395,0.450,"1"
"302",0.0000,4.7849,2.7154,0.016,"1"
"303",0.0000,9.7378,1.2455,0.601,"1"
"304",0.0000,6.8589,7.5291,0.047,"1"
"305",0.6777,8.9718,0.5914,0.382,"1"
"306",0.0000,10.9625,2.6502,0.310,"1"
"307",0.0000,7.0522,1.7807,0.095,"1"
"308",0.6877,4.7068,9.8051,0.160,"1"
"309",0.0513,7.2892,6.8597,0.089,"1"
"310",0.5698,6.7567,3.7163,0.430,"1"
"311",0.0000,6.5206,12.9848,0.026,"1"
"312",0.1688,4.6857,19.3013,0.144,"1"
"313",0.1294,8.8419,1.5968,0.029,"1"
"314",0.2534,9.4379,1.0041,0.039,"1"
"315",0.0475,5.0348,16.9638,0.008,"1"
"316",0.0000,7.1971,0.5236,0.473,"1"
"317",0.0000,5.9023,2.4823,0.188,"1"
"318",0.6686,5.6137,1.8899,0.410,"1"
"319",0.0000,6.8352,3.7025,0.044,"1"
"320",0.0000,6.8644,8.7074,0.144,"1"
"321",0.3176,4.9737,3.1872,0.256,"1"
"322",0.2618,3.1638,38.3162,0.500,"1"
"323",0.0000,4.1425,8.6305,0.621,"1"
"324",0.3538,6.0043,8.9629,0.222,"1"
"325",0.0000,6.3200,3.3237,0.131,"1"
"326",0.0813,6.8217,6.0906,0.005,"1"
"327",0.0000,4.7814,27.4969,0.506,"1"
"328",0.0000,6.0163,0.9597,0.805,"1"
"329",0.0000,10.1033,0.4358,0.561,"1"
"330",0.0000,5.7246,23.8703,0.330,"1"
"331",0.0000,8.3394,8.0325,0.086,"1"
"332",0.0374,8.8946,7.2240,0.154,"1"
"333",0.0961,4.7754,3.7609,0.019,"1"
"334",0.5096,4.3459,19.3803,0.258,"1"
"335",0.0000,7.9991,4.2908,0.369,"1"
"336",0.3528,6.5427,2.5929,0.224,"1"
"337",0.0000,4.9563,3.7026,0.036,"1"
"338",0.0000,5.3627,13.9797,0.372,"1"
"339",0.0627,6.7911,1.1367,0.014,"1"
"340",0.0000,4.5652,16.9056,0.198,"1"
"341",0.0000,4.7420,4.6848,0.384,"1"
"342",0.0000,7.5138,1.6576,0.178,"1"
"343",0.4247,5.8326,3.3465,0.263,"1"
"344",0.0000,7.3209,3.9555,0.198,"1"
"345",0.4342,5.2659,10.9726,0.313,"1"
"346",0.0000,6.7493,14.5756,0.077,"1"
"347",0.1265,8.1356,1.3813,0.066,"1"
"348",0.0000,6.1558,0.9724,0.621,"1"
"349",0.0642,7.6918,1.1645,0.043,"1"
"350",0.0375,6.1287,12.5424,0.011,"1"
"351",0.0000,5.7200,4.1830,0.191,"1"
"352",0.0000,6.4500,4.6876,0.204,"1"
"353",0.4977,4.9468,6.9914,0.325,"1"
"354",0.0000,5.1520,10.9545,0.393,"1"
"355",0.0000,4.1821,19.9293,0.378,"1"
"356",0.0000,11.3060,0.9041,0.471,"1"
"357",0.0000,6.3148,3.1057,0.107,"1"
"358",0.0000,6.2445,7.4120,0.213,"1"
"359",0.0000,11.5582,4.7409,0.257,"1"
"360",0.0000,9.6028,1.0445,0.132,"1"
"361",0.2453,6.1115,1.2072,0.057,"1"
"362",0.1932,5.5770,2.4786,0.057,"1"
"363",0.0000,18.1450,1.8094,0.155,"1"
"364",0.1891,6.0603,4.3973,0.122,"1"
"365",0.0000,6.4295,3.9082,0.109,"1"
"366",0.0000,6.0943,4.1870,0.198,"1"
"367",0.0000,4.7431,12.1952,0.596,"1"
"368",0.0000,8.7613,4.9792,0.195,"1"
"369",0.0000,6.0639,0.6671,0.191,"1"
"370",0.1415,7.1149,1.4629,0.279,"1"
"371",0.0000,8.0630,6.4467,0.222,"1"
"372",0.1530,5.3822,2.3225,0.060,"1"
"373",0.0469,6.2413,2.2689,0.057,"1"
"374",0.0000,5.9645,9.8914,0.070,"1"
"375",0.0000,14.2166,1.4524,0.071,"1"
"376",0.0000,9.5406,1.4801,0.552,"1"
"377",0.0000,5.8396,3.3360,0.232,"1"
"378",0.1644,5.4744,1.9437,0.079,"1"
"379",0.0000,7.1741,1.2632,0.565,"1"
"380",0.0894,6.5563,7.2301,0.022,"1"
"381",0.0000,9.2641,1.3521,0.793,"1"
"382",0.0000,4.3261,3.9948,0.105,"1"
