OBJECTID,PK,FK,NUMR_ZONE_,CODE_DEPOT,CODE_APPEL,NOTE_DEPOT,REF_AUTRE,CODE_SYMBL,DATE_PREM_,NUMR_INTER,GEOMETRIE_,GEOMETRIE1,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority
"664",&NUMR_ZONE_SEDM,,70015.00000000000,LGa,,,,LGa,2013-01-29,70015.00000000000,0.06119370222,0.00004372932,15267.000000000000000,-410.386648198547391,-0.026880634584303,-0.037336576730013,0.361541778176306,-1.000000000000000,1.000000000000000,2.000000000000000,-0.989960670471191,-1.000000000000000
"665",&NUMR_ZONE_SEDM,,70077.00000000000,LGb,,,,LGb,2013-01-29,70077.00000000000,0.67482039018,0.00143786101,65848.000000000000000,-1233.816355345902139,-0.018737339863715,-0.013065812177956,0.237118676600675,-1.000000000000000,1.000000000000000,2.000000000000000,-0.980935394763947,-1.000000000000000
"666",&NUMR_ZONE_SEDM,,70080.00000000000,LGb,,,,LGb,2013-01-29,70080.00000000000,0.28080436707,0.00037799377,61172.000000000000000,-4275.120728764032719,-0.069886888262016,-0.048136943951249,0.261188660067154,-1.000000000000000,1.000000000000000,2.000000000000000,-0.992180645465851,-1.000000000000000
"667",&NUMR_ZONE_SEDM,,70103.00000000000,LGb,,,,LGb,2013-01-29,70103.00000000000,0.02562084242,0.00001944059,6778.000000000000000,-208.772428178228438,-0.030801479518771,-0.011042706202716,0.382300388783100,-1.000000000000000,1.000000000000000,2.000000000000000,-0.989376842975616,1.000000000000000
"673",&NUMR_ZONE_SEDM,,70212.00000000000,LGd,,,,LGd,2013-01-29,70212.00000000000,0.07934450177,0.00030829272,107651.000000000000000,-2706.676985293230700,-0.025143073313701,-0.024972829967737,0.282287863661250,-1.000000000000000,1.000000000000000,2.000000000000000,-0.991611182689667,1.000000000000000
"820",&NUMR_ZONE_SEDM,,70010.00000000000,LGa,,,,LGa,2013-01-29,70010.00000000000,0.07945469120,0.00004335557,15169.000000000000000,-600.787866546237865,-0.039606293529319,-0.033236995339394,0.322352847084740,-1.000000000000000,1.000000000000000,2.000000000000000,-0.991989493370056,-1.000000000000000
"821",&NUMR_ZONE_SEDM,,70021.00000000000,LGa,,,,LGa,2013-01-29,70021.00000000000,0.23004255381,0.00026090548,10931.000000000000000,-501.901132678386602,-0.045915390419759,-0.050677832216024,0.307823284709282,-1.000000000000000,1.000000000000000,2.000000000000000,-0.975081682205200,1.000000000000000
"824",&NUMR_ZONE_SEDM,,70079.00000000000,LGb,,,,LGb,2013-01-29,70079.00000000000,0.01812980585,0.00001054525,3690.000000000000000,-240.698345888111362,-0.065229904034719,-0.027221737429500,0.343752076075332,-1.000000000000000,1.000000000000000,2.000000000000000,-0.991270840167999,-1.000000000000000
"825",&NUMR_ZONE_SEDM,,70086.00000000000,LGb,,,,LGb,2013-01-29,70086.00000000000,0.29353698893,0.00052809887,184577.000000000000000,-3560.862512641422654,-0.019292016408553,-0.015907039865851,0.208883202061779,-1.000000000000000,1.000000000000000,2.000000000000000,-0.993476748466492,1.000000000000000
"826",&NUMR_ZONE_SEDM,,70088.00000000000,LGb,,,,LGb,2013-01-29,70088.00000000000,0.05362867229,0.00001791224,6270.000000000000000,15.058207239242620,0.002401627948843,-0.019414216279984,0.317998884042549,-1.000000000000000,1.000000000000000,2.000000000000000,-0.996308863162994,1.000000000000000
"827",&NUMR_ZONE_SEDM,,70101.00000000000,LGb,,,,LGb,2013-01-29,70101.00000000000,0.44642178744,0.00047239511,164968.000000000000000,-8096.189816991882253,-0.049077335101304,-0.045770201832056,0.303415674229622,-1.000000000000000,1.000000000000000,2.000000000000000,-0.994693577289581,1.000000000000000
"976",&NUMR_ZONE_SEDM,,70011.00000000000,LGa,,,,LGa,2013-01-29,70011.00000000000,0.01190025883,0.00000515825,1805.000000000000000,-120.044461292884080,-0.066506626755060,-0.056761942803860,0.338605637365762,-1.000000000000000,1.000000000000000,2.000000000000000,-0.986615896224976,-1.000000000000000
"977",&NUMR_ZONE_SEDM,,70083.00000000000,LGb,,,,LGb,2013-01-29,70083.00000000000,0.46328165012,0.00104720625,275373.000000000000000,-6679.641441862711872,-0.024256704331444,-0.025017781183124,0.269523953111299,-1.000000000000000,1.000000000000000,2.000000000000000,-0.994999408721924,1.000000000000000
"978",&NUMR_ZONE_SEDM,,70084.00000000000,LGb,,,,LGb,2013-01-29,70084.00000000000,0.02709902309,0.00000347700,1207.000000000000000,-131.436297072155867,-0.108895026571794,-0.038099568337202,0.413833564212746,-1.000000000000000,0.963515102863312,1.963515102863312,-0.981684982776642,-1.000000000000000
"979",&NUMR_ZONE_SEDM,,70089.00000000000,LGb,,,,LGb,2013-01-29,70089.00000000000,0.19997087415,0.00018174410,8445.000000000000000,-399.101611656806199,-0.047258923819634,-0.026522260159254,0.305880863244051,-1.000000000000000,1.000000000000000,2.000000000000000,-1.000000000000000,1.000000000000000
"980",&NUMR_ZONE_SEDM,,70107.00000000000,LGb,,,,LGb,2013-01-29,70107.00000000000,0.10266894115,0.00013730382,20926.000000000000000,-365.150263053363119,-0.017449596819906,-0.029747231863439,0.210083339720839,-1.000000000000000,1.000000000000000,2.000000000000000,-0.986289620399475,1.000000000000000
"981",&NUMR_ZONE_SEDM,,70204.00000000000,LGd,,,,LGd,2013-01-29,70204.00000000000,0.03541281782,0.00003513704,12276.000000000000000,522.185721827056113,0.042537122990148,0.031859125941992,0.355673436946537,-1.000000000000000,1.000000000000000,2.000000000000000,-0.990843534469604,1.000000000000000
"1162",&NUMR_ZONE_SEDM,,70017.00000000000,LGa,,,,LGa,2013-01-29,70017.00000000000,0.08298963661,0.00003573717,2603.000000000000000,-184.409883371627075,-0.070845133834663,-0.035506628453732,0.408803119335839,-1.000000000000000,1.000000000000000,2.000000000000000,-0.990072786808014,-1.000000000000000
"1164",&NUMR_ZONE_SEDM,,70205.00000000000,LGd,,,,LGd,2013-01-29,70205.00000000000,0.03565505082,0.00005627393,19662.000000000000000,112.117210614613668,0.005702228187093,-0.008381760213524,0.383956338984144,-1.000000000000000,1.000000000000000,2.000000000000000,-0.996814191341400,1.000000000000000
